Kategorie,Produkt,Preis,Link
c,Kantwurst,"2,99 €",https://www.interspar.at/shop/lebensmittel/s-budget-kantwurst/p/2020004358080
c,Bio-Toast-Schinken,"2,89 €",https://www.interspar.at/shop/lebensmittel/spar-naturpur-bio-toast-schinken/p/2020004276841
c,Käsewurst per Stück,"4,99 €",https://www.interspar.at/shop/lebensmittel/tann-kaesewurst-per-stueck/p/3151488
c,Bratwurst dick per Packung,"4,59 €",https://www.interspar.at/shop/lebensmittel/tann-bratwurst-dick-per-packung/p/3324165
c,Rinds-Rumpsteak SKIN,"28,99 €",https://www.interspar.at/shop/lebensmittel/tann-rinds-rumpsteak-skin/p/1106282
c,Prosciutto Crudo,"5,29 €",https://www.interspar.at/shop/lebensmittel/spar-premium-prosciutto-crudo/p/1243369
c,Bio-Ente Keulen,"9,99 €",https://www.interspar.at/shop/lebensmittel/spar-naturpur-bio-ente-keulen/p/2020004764614
c,Bratwurst dünn per Packung,"4,99 €",https://www.interspar.at/shop/lebensmittel/tann-bratwurst-duenn-per-packung/p/3324172
c,Rindsgulasch,"7,49 €",https://www.interspar.at/shop/lebensmittel/tann-in-vorarlberg-hausgemacht-rindsgulasch/p/2020003986642
c,Krakauer per Stück,"5,49 €",https://www.interspar.at/shop/lebensmittel/holzbauer-krakauer-per-stueck/p/4621515
c,Rosmarinschinken,"2,19 €",https://www.interspar.at/shop/lebensmittel/tann-rosmarinschinken/p/3765470
c,Extra-Pikant per KG,"1,59 €",https://www.interspar.at/shop/lebensmittel/tann-extra-pikant-per-kg/p/6986759
c,Schweins-Schnitzelteile in SB-Packung,"10,99 €",https://www.interspar.at/shop/lebensmittel/tann-schweins-schnitzelteile-in-sb-packung/p/3286203
c,Bio-Ente,"35,99 €",https://www.interspar.at/shop/lebensmittel/spar-naturpur-bio-ente/p/2020003540257
c,Tiroler Kaminwurzerl Classic per Packung,"2,99 €",https://www.interspar.at/shop/lebensmittel/tann-tiroler-kaminwurzerl-classic-per-packung/p/2020003113802
c,Bio-Hendl Filet sous-vide vorgegart 2 Filets,"26,99 €",https://www.interspar.at/shop/lebensmittel/spar-naturpur-bio-hendl-filet-sous-vide-vorgegart-2-filets/p/2020004338518
c,Rinds-Schulterscherzl,"20,99 €",https://www.interspar.at/shop/lebensmittel/tann-rinds-schulterscherzl/p/835763
c,Salami Milano,"3,79 €",https://www.interspar.at/shop/lebensmittel/spar-premium-salami-milano/p/1243277
c,Kalbsbratwürstel,"3,99 €",https://www.interspar.at/shop/lebensmittel/s-budget-kalbsbratwuerstel/p/2020003910449
c,Lachsforellenfilet geräuchert,"3,49 €",https://www.interspar.at/shop/lebensmittel/s-budget-lachsforellenfilet-geraeuchert/p/2020004641366
c,Bio-Rinds-Gulasch,"20,99 €",https://www.interspar.at/shop/lebensmittel/spar-naturpur-bio-rinds-gulasch/p/6067168
c,Jausenwurst per Stück,"4,99 €",https://www.interspar.at/shop/lebensmittel/s-budget-jausenwurst-per-stueck/p/2020000772507
c,Presswurst per KG,"1,39 €",https://www.interspar.at/shop/lebensmittel/tann-presswurst-per-kg/p/3068090
c,Bio-Schweins-Schnitzel,"25,99 €",https://www.interspar.at/shop/lebensmittel/spar-naturpur-bio-schweins-schnitzel/p/6278694
c,Toastschinken XXL per Packung,"4,04 €",https://www.interspar.at/shop/lebensmittel/s-budget-toastschinken-xxl-per-packung/p/2020002853624
c,Rinds-T-Bone-Steak,"34,99 €",https://www.interspar.at/shop/lebensmittel/tann-rinds-t-bone-steak/p/5971619
c,Puten Aufschnitt per Packung,"2,49 €",https://www.interspar.at/shop/lebensmittel/tann-puten-aufschnitt-per-packung/p/2020004112774
c,Bio-Rostbratwürstel,"3,49 €",https://www.interspar.at/shop/lebensmittel/spar-naturpur-bio-rostbratwuerstel/p/3799031
c,Tomahawk-Steak,"23,99 €",https://www.interspar.at/shop/lebensmittel/tann-tomahawk-steak/p/2020001260195
c,Bergwurst geschnitten,"1,99 €",https://www.interspar.at/shop/lebensmittel/s-budget-bergwurst-geschnitten/p/2020003841804
c,Putenextra per 100 g,"1,49 €",https://www.interspar.at/shop/lebensmittel/tann-putenextra-per-100-g/p/2020003887796
c,Backofenleberkäse geschnitten per Packung,"3,09 €",https://www.interspar.at/shop/lebensmittel/tann-backofenleberkaese-geschnitten-per-packung/p/2020001682508
c,Burgunderschinken per Packung,"2,19 €",https://www.interspar.at/shop/lebensmittel/tann-burgunderschinken-per-packung/p/6036393
c,Bio-Extrawurst,"1,89 €",https://www.interspar.at/shop/lebensmittel/spar-naturpur-bio-extrawurst/p/2020004112798
c,Bio-Käsekrainer,"3,79 €",https://www.interspar.at/shop/lebensmittel/spar-naturpur-bio-kaesekrainer/p/2020002228125
c,"Zack-Zack Minutensteak vom Schwein, mariniert","12,99 €",https://www.interspar.at/shop/lebensmittel/tann-zack-zack-minutensteak-vom-schwein-mariniert/p/2020003331152
c,Münchner Weisswurst per Packung,"2,79 €",https://www.interspar.at/shop/lebensmittel/tann-muenchner-weisswurst-per-packung/p/6292515
c,Bio-Pulled-Duck,"9,99 €",https://www.interspar.at/shop/lebensmittel/spar-naturpur-bio-pulled-duck/p/2020005696723
c,Käsekrainer,"3,69 €",https://www.interspar.at/shop/lebensmittel/s-budget-kaesekrainer/p/2020004795755
c,Knacker per Packung,"3,49 €",https://www.interspar.at/shop/lebensmittel/tann-knacker-per-packung/p/3324097
c,Rinds-Gustosteak SKIN,"23,99 €",https://www.interspar.at/shop/lebensmittel/tann-rinds-gustosteak-skin/p/2020002627850
c,Bio-Lachsfilet Natur,"7,99 €",https://www.interspar.at/shop/lebensmittel/spar-naturpur-bio-lachsfilet-natur/p/2020003780455
c,Bio-Karree-Speck geschnitten,"3,99 €",https://www.interspar.at/shop/lebensmittel/spar-naturpur-bio-karree-speck-geschnitten/p/7220982
c,Pulled Pork per Packung,"5,99 €",https://www.interspar.at/shop/lebensmittel/tann-pulled-pork-per-packung/p/2020003280030
c,Duroc Würstel-Mix per Packung,"3,39 €",https://www.interspar.at/shop/lebensmittel/tann-duroc-wuerstel-mix-per-packung/p/2020004280596
c,Putenfrankfurter,"3,29 €",https://www.interspar.at/shop/lebensmittel/tann-putenfrankfurter/p/2020003580727
c,Debreziner per Packung,"3,69 €",https://www.interspar.at/shop/lebensmittel/tann-debreziner-per-packung/p/2020004858856
c,Puten-Salami,"2,19 €",https://www.interspar.at/shop/lebensmittel/s-budget-puten-salami/p/2020003424724
c,Maishendl Unterkeulen,"5,99 €",https://www.interspar.at/shop/lebensmittel/spar-feinstes-gefluegel-maishendl-unterkeulen/p/2020004580719
c,Lachsrückenfilet,"8,69 €",https://www.interspar.at/shop/lebensmittel/spar-premium-lachsrueckenfilet/p/2020004328342
c,Schweine-Bauch gefüllt,"12,99 €",https://www.interspar.at/shop/lebensmittel/tann-schweine-bauch-gefuellt/p/6079659
c,Sardellen Paste,"1,99 €",https://www.interspar.at/shop/lebensmittel/s-budget-sardellen-paste/p/2020003965777
c,H-Unterkeulen,"6,39 €",https://www.interspar.at/shop/lebensmittel/s-budget-h-unterkeulen/p/2020004580511
c,Rinds-Beinfleisch,"11,99 €",https://www.interspar.at/shop/lebensmittel/tann-rinds-beinfleisch/p/835183
c,Antipasto Piccante Calabrese,"6,99 €",https://www.interspar.at/shop/lebensmittel/spar-premium-antipasto-piccante-calabrese/p/2020002846367
c,Kaminwurzerl,"4,59 €",https://www.interspar.at/shop/lebensmittel/s-budget-kaminwurzerl/p/2020003192319
c,Heurigenschinken,"2,19 €",https://www.interspar.at/shop/lebensmittel/tann-heurigenschinken/p/2374321
c,Bauernschinken,"1,79 €",https://www.interspar.at/shop/lebensmittel/tann-bauernschinken/p/695404
c,Rauchschinken per Packung,"2,69 €",https://www.interspar.at/shop/lebensmittel/tann-rauchschinken-per-packung/p/2020003109065
c,Weide-Hendl frische Hendlkeulen,"12,79 €",https://www.interspar.at/shop/lebensmittel/spar-premium-weide-hendl-frische-hendlkeulen/p/2020005021990
c,Verhackerts per Stück,"2,49 €",https://www.interspar.at/shop/lebensmittel/tann-verhackerts-per-stueck/p/3101070
c,Rinds-Beiried Rumpsteak,"26,99 €",https://www.interspar.at/shop/lebensmittel/tann-rinds-beiried-rumpsteak/p/835855
c,Frankfurter 8 Stück,"3,39 €",https://www.interspar.at/shop/lebensmittel/s-budget-frankfurter-8-stueck/p/2020003136467
c,Easy Cheesy Griller per Packung,"2,99 €",https://www.interspar.at/shop/lebensmittel/tann-easy-cheesy-griller-per-packung/p/2020005277229
c,Zirbenrauch-Schinken,"2,99 €",https://www.interspar.at/shop/lebensmittel/spar-premium-zirbenrauch-schinken/p/2020004908780
c,Chili-Extrawurst Chili per KG,"1,59 €",https://www.interspar.at/shop/lebensmittel/tann-chili-extrawurst-chili-per-kg/p/2020004713087
c,Putenschinken Natur,"2,19 €",https://www.interspar.at/shop/lebensmittel/spar-vital-putenschinken-natur/p/6386689
c,Rinds-Huftsteak,"29,99 €",https://www.interspar.at/shop/lebensmittel/tann-rinds-huftsteak/p/835947
c,Roasted Beef,"3,49 €",https://www.interspar.at/shop/lebensmittel/spar-premium-roasted-beef/p/2020001324514
c,Puten Rollbraten,"9,59 €",https://www.interspar.at/shop/lebensmittel/spar-feinstes-gefluegel-puten-rollbraten/p/2020004165145
c,Knacker per Packung,"11,99 €",https://www.interspar.at/shop/lebensmittel/tann-knacker-per-packung/p/7943256
c,Wurst-Sticks,"1,89 €",https://www.interspar.at/shop/lebensmittel/spar-enjoy-wurst-sticks/p/2020001595914
c,Faschiertes gemischt in Bedienung,"10,99 €",https://www.interspar.at/shop/lebensmittel/tann-faschiertes-gemischt-in-bedienung/p/835022
c,Beef-Burger,"2,49 €",https://www.interspar.at/shop/lebensmittel/tann-beef-burger/p/2020002360931
c,Pikante Käsewurst,"2,39 €",https://www.interspar.at/shop/lebensmittel/tann-pikante-kaesewurst/p/5284856
c,Bio-Rinds-Huftsteak,"36,99 €",https://www.interspar.at/shop/lebensmittel/spar-naturpur-bio-rinds-huftsteak/p/2020001466856
c,Bio-Salami,"3,29 €",https://www.interspar.at/shop/lebensmittel/spar-naturpur-bio-salami/p/2020002274429
c,Porchetta Toscana,"4,59 €",https://www.interspar.at/shop/lebensmittel/spar-premium-porchetta-toscana/p/2020002571993
c,Putenfilet Schnitzerl,"4,49 €",https://www.interspar.at/shop/lebensmittel/s-budget-putenfilet-schnitzerl/p/2020004643520
c,Rindssuppe,"3,99 €",https://www.interspar.at/shop/lebensmittel/tann-in-vorarlberg-hausgemacht-rindssuppe/p/2020003986796
c,Bio-Senngold Kräuter,"3,29 €",https://www.interspar.at/shop/lebensmittel/spar-naturpur-bio-senngold-kraeuter/p/2020004827807
c,"vegetarisches Sackerl ""Jause""","14,99 €",https://www.interspar.at/shop/lebensmittel/spar-veggie-vegetarisches-sackerl-jause/p/2020003909955
c,Tiroler Schlutzkrapfen,"2,99 €",https://www.interspar.at/shop/lebensmittel/spar-feine-kueche-tiroler-schlutzkrapfen/p/7605246
c,Cremejogurt Kaffee,"0,45 €",https://www.interspar.at/shop/lebensmittel/s-budget-cremejogurt-kaffee/p/1386776
c,Bio-Sauerrahm,"1,75 €",https://www.interspar.at/shop/lebensmittel/spar-naturpur-bio-sauerrahm/p/2020004645616
c,Kalbsbutterschnitzel mit Salzkartoffeln 2 Stück,"3,49 €",https://www.interspar.at/shop/lebensmittel/spar-feine-kueche-kalbsbutterschnitzel-mit-salzkartoffeln-2-stueck/p/7024719
c,Latte Espresso,"0,85 €",https://www.interspar.at/shop/lebensmittel/s-budget-latte-espresso/p/2020002786748
c,Schokopudding mit Sahne,"0,59 €",https://www.interspar.at/shop/lebensmittel/s-budget-schokopudding-mit-sahne/p/1651461
c,Orientalisches Trio Baba Ganoush/Hummus &Rote Rübe 3x70g,"2,79 €",https://www.interspar.at/shop/lebensmittel/spar-veggie-orientalisches-trio-baba-ganoushhummus-rote-ruebe-3x70g/p/4733126
